364	37	2765	251
465	109	992	243
1296	109	2815	20
938	108	2080	197
1852	120	2765	141
423	139	1616	154
381	40	423	61
2736	97	2566	19
1875	113	1846	113
211	40	932	237
1149	113	1292	244
2821	113	1180	168
441	158	2274	94
585	40	462	127
366	122	1884	192
1936	113	2666	77
1468	109	1004	216
1796	108	924	221
2826	122	476	82
283	85	2921	259
592	27	1135	135
1751	27	1776	93
308	72	476	160
2274	105	441	232
1294	126	2348	135
1322	66	1086	196
1858	27	1766	173
2639	113	1296	127
1733	45	462	32
1425	85	2612	149
2154	27	617	77
278	85	423	251
923	40	1847	81
1489	37	2095	82
1918	37	938	208
116	113	992	169
2673	27	2246	6
366	40	932	134
2422	60	452	54
1132	72	2533	6
216	37	278	249
2919	108	1121	259
476	2	2085	43
2612	115	1364	30
2489	113	1382	163
366	109	423	47
1649	113	2260	36
2865	122	2719	224
463	158	2294	232
1354	109	464	244
1431	113	2110	222
300	37	2059	80
2612	70	1364	64
932	115	1296	168
1529	139	494	85
679	109	590	139
1299	97	2103	163
1070	148	1982	62
495	40	1018	80
2272	113	2392	50
1814	149	2804	42
484	28	1334	19
627	108	1789	125
2073	139	2668	182
467	122	2013	61
476	2	570	257
423	37	932	3
2016	109	1796	205
1733	113	1256	194
2097	112	1550	60
627	109	569	111
553	37	1121	144
290	109	476	254
938	37	278	40
2103	109	1735	37
2420	37	2361	35
585	144	462	118
973	108	278	210
476	109	1372	149
1364	108	64	190
1502	37	240	198
820	113	1296	64
278	77	151	36
2306	144	469	195
938	37	151	131
992	82	465	214
2097	85	1295	41
278	70	2919	82
2387	109	1006	154
1296	97	381	11
954	108	1253	244
476	72	561	174
2262	111	2865	150
1142	85	2631	116
2154	105	1789	125
1429	37	2259	232
2087	113	1517	5
924	40	423	35
1296	97	932	110
1193	36	1470	99
1648	61	2310	121
860	61	923	144
932	127	66	9
2919	108	2668	159
366	85	1114	171
1530	2	1770	125
2226	39	1893	33
901	113	2151	56
2274	105	441	90
1382	37	213	94
395	113	1006	62
1296	37	381	67
1364	70	2357	193
2098	45	2668	19
1970	113	1296	241
1533	37	2612	181
13	115	133	89
2318	156	1776	70
2668	97	278	116
185	158	2287	104
1429	149	2776	89
211	40	938	236
1685	2	1296	73
2788	85	2727	227
2919	111	845	90
423	82	370	154
1719	109	966	35
188	0	2668	19
2488	37	1296	8
790	129	1763	95
1700	109	2413	260
1357	113	2852	224
2666	27	1776	183
1185	113	1850	63
2322	163	1778	42
1086	122	283	124
1554	37	2919	184
2306	113	1616	68
2164	2	1561	46
462	109	790	238
462	85	1121	239
298	0	410	141
292	40	1447	172
2390	85	2765	116
2617	0	415	188
1063	77	1789	251
135	45	2142	254
423	133	2669	155
